ZIP CODE,tc_2 # OF PROPERTIES,tc_2  FY'2017 MARKET VALUE LAND,tc_2  FY'2017 MARKET VALUE TOTAL,tc_2  FY'2017 ASSESSED VALUE LAND,tc_2  FY'2017 ASSESSED VALUE TOTAL,tc_2  FY'2017 EXEMPT VALUE LAND,tc_2  FY'2017 EXEMPT VALUE TOTAL,tc_2  FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2  FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2  Average Actual Assessment Ratio,tc_2  Median Actual Assessment Ratio,tc_2  FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2  FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2  TOTAL UNITS,tc_2  RESIDENTIAL UNITS,tc_2  LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2  Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,tc_2 Actual Assessed Value Per Gross Square Foot,tc_2 Taxes w/out Exemption Per Residential Unit,tc_2 Taxes w/out Exemption Per Gross Square Foot,tc_1 # of Properties,tc_1 Finance FY'2017 Market Value Total,tc_1 Average Market Value,tc_1 Finance FY'2017 Assessed Value Land,tc_1 Finance FY'2017 Assessed Value Total,tc_1 Average Assessed Value,tc_1 Finance FY'2017 Exempt Value Land,tc_1 Finance FY'2017 Exempt Value Total,"tc_1 Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1 FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1 FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1 FY'2017 Median Effective Tax Rate,"tc_1 FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1 FY'2017 Median Actual Assessment Ratio,tc_1 FY'2017 Taxes w/out Exemptions,tc_1 FY'2017 Average Taxes w/out Exemptions,tc_1 FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1 FY'2017 Median Effective Tax Rate w/out Exemption
10470,165,27469010,172210010,8598247,58020623,1320389,7383794,8929087,63440590,0.3684,0.2522,1346980,7355583,3240,3159,1059740,2950810,50422179,6500427,0.0377,0.0323,8178761,0.0475,0.0325,54514,58,20082,21,2589,2.77,2902,2730540805,940917,27217153,107079780,36899,4994743,8795639,98284141,19647983,0.0072,0.0076,0.0392,0.0401,21406319,7376,0.0078,0.008
10471,354,104558189,494447062,43177884,192709918,9513535,23840048,45590904,218533717,0.442,0.45,10102047,25481647,7859,7825,7228302,8624955,168869870,21770704,0.044,0.0495,28173367,0.057,0.058,63188,57,27928,25,3600,3.27,1339,1142856499,853515,10736094,43036286,32141,2481287,3728667,39307619,7857986,0.0069,0.0071,0.0377,0.0381,8603384,6425,0.0075,0.0076
10472,957,206923833,840236683,52440163,251909689,16634435,84717983,53108545,282857096,0.3366,0.1889,17112255,99445022,28577,28335,8329958,15272182,166947806,21522911,0.0256,0.0236,36465937,0.0434,0.0244,29654,55,9983,19,1287,2.39,4604,4133516040,897810,40819185,159475709,34639,8843509,15486509,143989200,28784881,0.007,0.0073,0.0386,0.0386,31880789,6925,0.0077,0.0077
10473,299,100963648,508327236,38650361,194808458,27415709,139560490,42466131,218749115,0.4303,0.45,29467463,156767628,12381,12340,9495492,13412568,55247968,7122568,0.014,0.0363,28201136,0.0555,0.058,41193,38,17727,16,2285,2.1,1955,1684446310,861609,17730385,65934601,33726,2984252,5678169,60256432,12045863,0.0072,0.0075,0.0391,0.0397,13180986,6742,0.0078,0.0079
10474,130,15742930,138757000,4823805,46446685,1463395,25792742,5207587,54892430,0.3956,0.45,1578620,31027589,3293,3229,856448,3103715,20469830,2638970,0.019,0.0167,7076732,0.051,0.058,42972,45,17000,18,2192,2.28,1471,5159588672,3507538,23401215,99833104,67868,1530452,2724409,97108695,19412999,0.0038,0.0038,0.0193,0.0193,19957636,13567,0.0039,0.0039
10475,19,94020000,699300140,41488905,284120761,40210136,278004912,41450638,313244278,0.4479,0.45,40175059,306601609,16545,16496,8028418,20374403,6115849,788455,0.0011,0.0008,40383452,0.0577,0.058,42392,34,18989,15,2448,1.98,9504,4518986342,475483,116615920,219320527,23077,17735112,20571206,198749321,39731977,0.0088,0.0093,0.0485,0.0495,43844367,4613,0.0097,0.0099
10803,0,0,0,0,0,0,0,0,0,#DIV/0!,#NUM!,0,0,0,0,0,0,0,0,#DIV/0!,#NUM!,0,#DIV/0!,#NUM!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8462,8069713644,953641,97169542,298582333,35285,18088461,31187809,267394524,53454839,0.0066,0.0068,0.037,0.0366,59689594,7054,0.0074,0.0073
11001,3,1338000,3637000,392734,1069206,0,0,392734,1215916,0.3343,0.082,0,0,45,43,81492,42155,1069206,137842,0.0379,0.0106,156756,0.0431,0.0106,84581,86,28277,29,3645,3.72,1609,2106482836,1309188,11756590,39469877,24531,2041115,5143292,34326585,6862228,0.0033,0.003,0.0187,0.0164,7890423,4904,0.0037,0.0033
11004,23,47553000,180314398,21105495,70795922,4739481,23844091,21105495,80554532,0.4467,0.45,4922511,28052268,2680,2673,5000881,2029455,46946465,6052338,0.0336,0.0322,10385090,0.0576,0.058,67458,89,30136,40,3885,5.12,2214,1630699766,736540,14008374,44048300,19895,2142889,7359986,36688314,7334361,0.0045,0.0038,0.027,0.0258,8805696,3977,0.0054,0.0052
11005,1,211415000,347424000,95136750,141934498,16033271,16033271,95136750,156340800,0.45,0.45,17274897,17274897,1866,1844,4228300,3750565,125901227,16231186,0.0467,0.0467,20155456,0.058,0.058,188408,93,84784,42,10930,5.37,8759,4593520337,524434,64085228,147581230,16849,14973255,27166749,120414481,24072059,0.0052,0.005,0.0321,0.0333,29502964,3368,0.0064,0.0067
